"","Location","lat","long","Elevation","Diameter","Depth","Cal_Volume","ORP","Temp","SpC","DO","TDS","Salinity","pH","Color","chla","DOC","DON","canopy","TP"
"BC001","BCSP","39.12153","-86.19458","226","11.5","1.00","  398.16414","198.0","19.90","31","2.30","0.020","0.01","6.11","0.08590000","  86.27"," 8.746","0.60360","0.1518","598.10205"
"BC002","BCSP","39.16358","-86.21181","276","15.5","0.50","  974.90820","144.5","21.61","48","1.89","0.031","0.02","6.39","0.03624922","  93.38","10.010","0.38290","0.3226","123.06354"
"BC003","BCSP","39.15219","-86.19418","258","15.5","1.30","  974.90820","107.4","21.14","61","0.81","0.040","0.03","6.31","0.09170000"," 131.28"," 6.817","1.28200","0.2085","291.43641"
"BC004","BCSP","39.14453","-86.19269","249","13.5","0.75","  644.12467"," 84.7","22.63","41","1.80","0.026","0.02","6.25","0.04360000","  88.16"," 6.970","0.21950","0.5060"," 80.11900"
"BC005","BCSP","39.14850","-86.19017","241"," 7.0","0.75","   89.79719"," 91.8","21.74","46","2.75","0.030","0.02","6.17","0.05700000"," 110.62"," 7.836","0.29280","0.1954"," 81.25410"
"BC015","BCSP","39.13319","-86.19683","126","12.0","1.20","  452.38934"," 71.3","22.48","61","0.99","0.039","0.03","6.31","0.05430000"," 374.92"," 6.665","0.20140","0.4956","568.77869"
"BC016","BCSP","39.12753","-86.19928","238","11.5","2.00","  398.16414","252.5","19.73","63","2.04","0.041","0.03","6.50","0.02780000","  27.38"," 7.410","0.85820","0.2129","160.26000"
"BC018","BCSP","39.12389","-86.20672","244","11.0","0.75","  348.45499","185.7","19.33","38","1.53","0.025","0.02","6.31","0.03860000","  28.39"," 8.868","0.18790","0.2055","253.78899"
"BC020","BCSP","39.12781","-86.20983","248","10.0","1.50","  261.79939","132.0","19.45","60","2.13","0.039","0.03","6.60","0.02050000","  27.58"," 5.598","1.49700","0.1775"," 76.92000"
"BC048","BCSP","39.13289","-86.27564","246","16.0","1.50"," 1072.33029"," 42.0","23.70","48","0.27","0.031","0.02","6.34","0.06881364","  48.66"," 9.395","1.02400","0.2096","137.87000"
